
2024/11/24 (16:36:06) | ===> btop++ v.1.4.0
2024/11/24 (16:36:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/11/24 (20:47:25) | ===> btop++ v.1.4.0
2024/11/24 (20:47:25) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/11/26 (10:35:28) | ===> btop++ v.1.4.0
2024/11/26 (10:35:28) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/12/14 (23:29:21) | ===> btop++ v.1.4.0
2024/12/14 (23:29:21) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/12/15 (00:12:20) | ===> btop++ v.1.4.0
2024/12/15 (00:12:20) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/12/15 (00:14:54) | ===> btop++ v.1.4.0
2024/12/15 (00:14:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
